CASE_ENQUIRY_ID,OPEN_DT,DateOpened_NonPrimitiveFormat,TimeOpened,CLOSED_DT,DateClosed,TimeClosed,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Address,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,LATITUDE,LONGITUDE,Source,Geocoded_Location,GridNumberX,GridNumberY,Location,ValidLocation,OpenDay,MinuteStart,CloseDay,MinuteEnd,InitialTimeSlot,FinalTimeSlot,ExtraInitialDay,InitialTimeSlotWithExtra,Slots Duration,TotalDaysPotholeWasOpen
101001309258,2/20/2015 17:00:07,2/20/2015,17:00:07,3/3/2015 15:47:17,3/3/2015,15:47:17,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,5 Arlington Ave  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,207,I,5 Arlington Ave,2129,Address,161627,42.3866,-71.0733,Citizens Connect App,"(42.3866, -71.0733)",6,10,96,1,0,1010,7,493,1,168,3,17,167,11.65783565
101001264259,1/30/2015 10:44:51,30-Jan-2015,10:44:51,3/3/2015 18:21:08,3-Mar-2015,18:21:08,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,INTERSECTION of Cross St & N Washington St  Boston  MA,3,1B,1,A1,Downtown / Financial District,3,Ward 3,304,,INTERSECTION Cross St & N Washington St,,Intersection,3685,42.3635,-71.0581,Constituent Call,"(42.3635, -71.0581)",7,9,87,1,0,634,7,339,1,168,2,11,167,32.76467593
101001298449,2/16/2015 14:03:40,16-Feb-2015,14:03:40,3/3/2015 12:09:37,3-Mar-2015,12:09:37,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,246-260 E Berkeley St  Roxbury  MA  02118,4,1C,2,D4,South End,4,3,308,I,246-260 E Berkeley St,2118,Address,15110,42.3434,-71.0633,Constituent Call,"(42.3434, -71.0633)",7,7,67,1,0,833,7,711,1,168,4,14,167,15.50667824
101001178883,9/22/2014 18:26:00,22-Sep-2014,18:26:00,1/5/2016 12:34:10,5-Jan-2016,12:34:10,Closed,Case Closed. Closed date : 2016-01-05 12:34:10.957 Case Resolved we  are filling  ypur  holes,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 07: South Dorchester,PWDx,23 Cheverus Rd  Dorchester  MA  02124,8,7,3,C11,Dorchester,8,Ward 16,1603,R3,23 Cheverus Rd,2124,Address,159822,42.2922,-71.0635,Citizens Connect App,"(42.2922, -71.0635)",7,3,27,1,0,1096,7,686,1,168,1,19,167,470.5237269
101001280670,2/6/2015 15:28:13,6-Feb-2015,15:28:13,3/24/2015 11:48:52,24-Mar-2015,11:48:52,Closed,Case Closed Case Resolved potholes patched,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 05: South Boston,PWDx,101 W Broadway   South Boston  MA  02127,6,5,2,C6,South Boston,5,6,601,E,101 W Broadway,2127,Address,341723,42.3412,-71.0549,Constituent Call,"(42.3412, -71.0549)",7,7,67,1,0,918,7,732,1,168,5,16,167,46.49226852
101001278095,2/5/2015 13:15:29,5-Feb-2015,13:15:29,3/2/2015 10:38:20,2-Mar-2015,10:38:20,Closed,Case Closed Case Resolved PATCHED AROUND MANHOLE COVER 2/28,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,34 Bennington St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,106,RC,34 Bennington St,2128,Address,187494,42.3755,-71.0379,Constituent Call,"(42.3755, -71.0379)",8,10,98,1,0,785,7,802,1,168,1,14,167,25.44328704
101001302684,2/17/2015 19:56:39,17-Feb-2015,19:56:39,3/3/2015 10:50:19,3-Mar-2015,10:50:19,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,INTERSECTION of Boylston St & Clarendon St  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Boylston St & Clarendon St,,Intersection,1779,42.3507,-71.0752,Citizens Connect App,"(42.3507, -71.0752)",6,8,76,1,0,1186,7,790,1,168,1,20,167,14.4516088
101001315172,2/24/2015 21:45:06,24-Feb-2015,21:45:06,3/12/2015 9:15:48,12-Mar-2015,09:15:48,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,INTERSECTION of Essex St & South St  Boston  MA,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,,INTERSECTION Essex St & South St,,Intersection,4638,42.3521,-71.0572,Citizens Connect App,"(42.3521, -71.0572)",7,8,77,1,2,1305,7,885,46,168,3,22,122,16.38597222
101001315396,2/25/2015 8:19:42,25-Feb-2015,08:19:42,2/25/2015 12:29:07,25-Feb-2015,12:29:07,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,INTERSECTION of Chelsea St & Sixteenth St  Charlestown  MA,3,1A,1,A15,Charlestown,2,Ward 2,202,,INTERSECTION Chelsea St & Sixteenth St,,Intersection,2861,42.3795,-71.052,City Worker App,"(42.3795, -71.052)",7,10,97,1,3,499,3,691,57,60,5,9,3,0.5202199074
101001313893,2/24/2015 10:10:25,24-Feb-2015,10:10:25,2/24/2015 10:10:26,24-Feb-2015,10:10:26,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 10B: Roxbury,PWDx,8 Lambert St  Roxbury  MA  02119,9,10B,7,B2,Roxbury,13,9,905,,8 Lambert St,2119,Address,172721,42.3287,-71.0915,Employee Generated,"(42.3287, -71.0915)",5,6,55,1,2,610,2,610,35,35,1,11,0,0.423912037
